# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq626.txt.smt2; sat           ; 0.04
eq627.txt.smt2; sat           ; 0.02
eq628.txt.smt2; sat           ; 0.06
eq629.txt.smt2; sat           ; 0.02
eq63.txt.smt2; sat            ; 0.01
eq630.txt.smt2; sat           ; 0.06
eq631.txt.smt2; sat           ; 0.05
eq632.txt.smt2; sat           ; 0.06
eq633.txt.smt2; sat           ; 0.04
eq634.txt.smt2; sat           ; 0.04
eq635.txt.smt2; sat           ; 0.06
eq636.txt.smt2; sat           ; 0.05
eq637.txt.smt2; sat           ; 0.05
eq638.txt.smt2; sat           ; 0.09
eq639.txt.smt2; sat           ; 0.07
eq64.txt.smt2; sat            ; 0.05
eq640.txt.smt2; sat           ; 0.02
eq641.txt.smt2; sat           ; 0.13
eq642.txt.smt2; sat           ; 0.03
eq643.txt.smt2; sat           ; 0.1
eq644.txt.smt2; sat           ; 0.09
eq645.txt.smt2; sat           ; 0.07
eq646.txt.smt2; sat           ; 0.04
eq647.txt.smt2; sat           ; 0.06
eq648.txt.smt2; sat           ; 0.06
eq649.txt.smt2; sat           ; 0.07
eq65.txt.smt2; sat            ; 0.04
eq650.txt.smt2; sat           ; 0.02
eq651.txt.smt2; sat           ; 0.09
eq652.txt.smt2; sat           ; 0.09
eq653.txt.smt2; sat           ; 0.05
eq654.txt.smt2; sat           ; 0.03
eq655.txt.smt2; sat           ; 0.07
eq656.txt.smt2; sat           ; 0.1
eq657.txt.smt2; sat           ; 0.13
eq658.txt.smt2; sat           ; 0.02
eq659.txt.smt2; sat           ; 0.04
eq66.txt.smt2; sat            ; 0.03
eq660.txt.smt2; sat           ; 0.01
eq661.txt.smt2; sat           ; 0.02
eq662.txt.smt2; sat           ; 0.03
eq663.txt.smt2; sat           ; 0.04
eq664.txt.smt2; sat           ; 0.13
eq665.txt.smt2; sat           ; 0.04
eq666.txt.smt2; sat           ; 0.03
eq667.txt.smt2; sat           ; 0.05
eq668.txt.smt2; sat           ; 0.04
eq669.txt.smt2; sat           ; 0.04
eq67.txt.smt2; sat            ; 0.06
eq670.txt.smt2; sat           ; 0.04
eq671.txt.smt2; sat           ; 0.02
eq672.txt.smt2; sat           ; 0.06
eq673.txt.smt2; sat           ; 0.05
eq674.txt.smt2; sat           ; 0.04
eq675.txt.smt2; sat           ; 0.06
eq676.txt.smt2; sat           ; 0.03
eq677.txt.smt2; sat           ; 0.06
eq678.txt.smt2; sat           ; 0.05
eq679.txt.smt2; sat           ; 0.04
eq68.txt.smt2; sat            ; 0.09
eq680.txt.smt2; sat           ; 0.04
eq681.txt.smt2; sat           ; 0.04
eq682.txt.smt2; sat           ; 0.09
eq683.txt.smt2; sat           ; 0.04
eq684.txt.smt2; sat           ; 0.04
eq685.txt.smt2; sat           ; 0.01
eq686.txt.smt2; sat           ; 0.02
eq687.txt.smt2; sat           ; 0.04
eq688.txt.smt2; sat           ; 0.05
eq689.txt.smt2; sat           ; 0.09
eq69.txt.smt2; sat            ; 0.09
eq690.txt.smt2; sat           ; 0.07
